StartByte,MessageID,MessageLength(lsb),MessageLength(msb),Time0,Time1,Time2,Time3,Time,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,
170,64,104,0,136,123,2,0,162696,0,0,192,255,192,2,0,0,192,255,0,4,0,0,192,255,192,4,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,64,5,64,0,192,255,64,5,0,0,192,255,64,5,64,0,192,255,64,5,64,0,192,255,0,5,
170,64,104,0,175,123,2,0,162735,64,0,192,255,0,5,64,0,192,255,64,5,0,0,192,255,64,5,64,0,0,0,64,5,0,0,0,0,0,5,64,0,0,0,0,5,0,0,0,0,64,5,0,0,0,0,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,64,5,
170,64,104,0,214,123,2,0,162774,64,0,0,0,0,5,64,0,0,0,0,5,64,0,0,0,64,5,64,0,0,0,64,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,0,0,0,5,0,0,0,0,64,5,0,0,0,0,64,5,64,0,0,0,0,5,0,0,0,0,0,5,
170,64,104,0,253,123,2,0,162813,0,0,0,0,64,5,64,0,0,0,64,5,64,0,0,0,64,5,64,0,0,0,0,5,64,0,0,0,64,5,64,0,0,0,64,5,64,0,0,0,64,5,64,0,0,0,64,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,64,0,192,255,0,5,64,0,192,255,64,5,64,0,192,255,64,5,
170,64,104,0,33,124,2,0,162849,64,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,64,5,64,0,192,255,64,5,64,0,192,255,64,5,64,0,0,0,64,5,64,0,0,0,64,5,0,0,0,0,0,5,64,0,192,255,64,5,64,0,192,255,64,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,192,255,0,5,
170,64,104,0,72,124,2,0,162888,64,0,0,0,0,5,64,0,0,0,0,5,64,0,0,0,0,5,0,0,0,0,0,5,0,0,192,255,0,5,0,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,192,255,0,5,64,0,0,0,0,5,64,0,192,255,0,5,0,0,192,255,0,5,
170,64,104,0,111,124,2,0,162927,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,64,0,192,255,64,5,0,0,0,0,0,5,64,0,0,0,64,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,0,0,0,5,0,0,192,255,64,5,0,0,0,0,0,5,
170,64,104,0,150,124,2,0,162966,64,0,0,0,0,5,64,0,192,255,64,5,64,0,0,0,0,5,0,0,0,0,0,5,64,0,192,255,0,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,192,255,0,5,0,0,0,0,0,5,0,0,192,255,0,5,0,0,0,0,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,0,0,0,5,
170,64,104,0,189,124,2,0,163005,64,0,192,255,0,5,128,0,192,255,0,5,128,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,64,5,64,0,0,0,64,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,64,5,0,0,192,255,0,5,64,0,192,255,64,5,64,0,0,0,64,5,0,0,0,0,64,5,0,0,0,0,64,5,
170,64,104,0,225,124,2,0,163041,64,0,192,255,0,5,0,0,192,255,64,5,64,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,64,5,128,0,192,255,64,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,0,0,0,5,64,0,0,0,64,5,64,0,0,0,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,
