StartByte,MessageID,MessageLength(lsb),MessageLength(msb),Time0,Time1,Time2,Time3,Time,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,axDataLsb,axDataMsb,ayDataLsb,ayDataMsb,azDataLsb,azDataMsb,
170,64,104,0,73,217,2,0,186697,0,0,0,0,128,2,0,0,0,0,192,3,0,0,192,255,128,4,64,0,192,255,0,5,0,0,192,255,0,5,0,0,0,0,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,64,5,0,0,192,255,64,5,0,0,192,255,64,5,
170,64,104,0,112,217,2,0,186736,0,0,192,255,64,5,64,0,192,255,64,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,0,0,192,255,64,5,0,0,192,255,64,5,0,0,192,255,0,5,0,0,192,255,64,5,0,0,192,255,0,5,0,0,192,255,0,5,
170,64,104,0,151,217,2,0,186775,0,0,128,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,0,0,0,5,0,0,192,255,64,5,0,0,192,255,64,5,0,0,192,255,0,5,0,0,192,255,0,5,192,255,192,255,0,5,0,0,128,255,64,5,64,0,192,255,64,5,0,0,192,255,64,5,64,0,192,255,0,5,
170,64,104,0,190,217,2,0,186814,64,0,128,255,0,5,0,0,128,255,64,5,0,0,192,255,64,5,64,0,192,255,64,5,64,0,128,255,0,5,0,0,192,255,0,5,64,0,128,255,64,5,0,0,192,255,64,5,0,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,128,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,
170,64,104,0,226,217,2,0,186850,0,0,192,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,128,255,0,5,0,0,192,255,0,5,64,0,128,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,128,255,0,5,64,0,192,255,64,5,64,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,
170,64,104,0,9,218,2,0,186889,0,0,192,255,0,5,0,0,192,255,64,5,0,0,192,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,64,5,64,0,192,255,64,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,
170,64,104,0,45,218,2,0,186925,0,0,192,255,64,5,64,0,192,255,64,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,64,5,64,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,0,5,0,0,0,0,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,0,0,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,
170,64,104,0,84,218,2,0,186964,64,0,192,255,64,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,0,0,192,255,64,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,0,0,0,5,64,0,192,255,64,5,0,0,0,0,0,5,0,0,192,255,64,5,0,0,192,255,64,5,64,0,192,255,0,5,64,0,192,255,0,5,
170,64,104,0,123,218,2,0,187003,64,0,192,255,0,5,64,0,0,0,64,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,64,5,0,0,128,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,
170,64,104,0,162,218,2,0,187042,64,0,192,255,64,5,64,0,128,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,64,0,128,255,0,5,64,0,192,255,0,5,0,0,192,255,0,5,0,0,192,255,0,5,64,0,192,255,0,5,64,0,192,255,64,5,64,0,192,255,64,5,64,0,128,255,0,5,64,0,128,255,0,5,64,0,192,255,64,5,0,0,192,255,0,5,64,0,192,255,0,5,
